Game,Publisher,Genre,Release Year,ESRB Rating,Multiplayer,Metacritic Score,Exclusivity,Sales N.A.,Sales Eur,Sales Jap,Sales Other,Sales Total
Mobile Suit Gundam: Gundam vs. Z Gundam,Namco Bandai Games,Shooter,2004,T,2,NA,No,NA,NA,NA,NA,NA
P.N.03 - Product Number Three,Capcom,Shooter,2003,T,1,63,Yes,0.06,0.02,NA,NA,0.08
Radirgy Generic,Milestone,Shooter,2006,E,2,NA,No,NA,NA,NA,NA,NA
Red Faction II,THQ,Shooter,2003,M,4,79,No,0.03,0.01,NA,NA,0.03
Reign of Fire,BAM! Entertainment,Shooter,2002,T,1,54,No,0.08,0.02,NA,NA,0.11
RoboCop,Titus,Shooter,2004,NA,1,NA,No,NA,NA,NA,NA,NA
Robotech: Battlecry,Take-Two Interactive,Shooter,2002,T,2,74,No,0.13,0.03,NA,NA,0.16
Serious Sam: Next Encounter,Global Star,Shooter,2004,M,4,69,No,0.02,NA,NA,NA,0.02
Shikigami no Shiro II,Kids Station,Shooter,2003,E,2,NA,No,NA,NA,NA,NA,NA
Space Raiders,Taito,Shooter,2003,T,2,40,No,0.01,NA,NA,NA,0.01
Star Fox: Assault,Nintendo,Shooter,2005,T,4,67,Yes,0.68,0.18,0.19,0.03,1.08
Star Wars Jedi Knight II: Jedi Outcast,Activision,Shooter,2002,T,2,75,No,0.18,0.05,NA,0.01,0.23
Star Wars Rogue Leader: Rogue Squadron II,LucasArts,Shooter,2001,T,1,90,Yes,1.03,0.75,0.03,0.09,1.9
Star Wars Rogue Squadron III: Rebel Strike,LucasArts,Shooter,2003,T,2,75,Yes,0.62,0.16,NA,0.02,0.8
Star Wars: Bounty Hunter,LucasArts,Shooter,2002,T,1,67,No,0.2,0.05,NA,0.01,0.26
Star Wars: Clone Wars,Activision,Shooter,2002,T,4,73,No,0.31,0.08,NA,0.01,0.4
Terminator 3: The Redemption,Atari,Shooter,2004,T,2,68,No,0.02,NA,NA,NA,0.02
The Sum of All Fears,Ubisoft,Shooter,2003,T,1,36,No,0.03,0.01,NA,NA,0.03
TimeSplitters 2,Eidos Interactive,Shooter,2002,T,4,88,No,0.34,0.09,NA,0.01,0.44
TimeSplitters: Future Perfect,Electronic Arts,Shooter,2005,M,4,82,No,0.06,0.02,NA,NA,0.08
Tom Clancy's Ghost Recon,Ubisoft,Shooter,2003,M,2,59,No,0.11,0.03,NA,NA,0.15
Tom Clancy's Ghost Recon 2,Ubisoft,Shooter,2005,T,1,54,No,0.06,0.01,NA,NA,0.07
Tom Clancy's Rainbow Six 3,Ubisoft,Shooter,2004,M,2,68,No,0.04,0.01,NA,NA,0.06
Tom Clancy's Rainbow Six: Lockdown,Ubisoft,Shooter,2005,M,2,72,No,0.04,0.01,NA,NA,0.05
Trigger Man,Crave Entertainment,Shooter,2004,T,1,NA,No,0.01,NA,NA,NA,0.02
Turok: Evolution,Acclaim Entertainment,Shooter,2002,M,4,70,No,0.3,0.08,NA,0.01,0.38
XIII,Ubisoft,Shooter,2003,M,4,73,No,0.07,0.02,NA,NA,0.09
Zoids Vs. III,Tomy Corporation,Shooter,2004,T,4,NA,Yes,NA,NA,NA,NA,NA
Animal Crossing,Nintendo,Simulation,2001,E,1,87,Yes,1.92,0.16,0.99,0.09,3.15
Bokujou Monogatari: Shiawase no Uta,Marvelous Interactive,Simulation,2005,NA,1,NA,Yes,NA,NA,NA,NA,NA
Doshin the Giant,Nintendo,Simulation,2002,NA,1,NA,Yes,NA,NA,0.14,NA,0.14
Gakuen Toshi Vara Noir Roses,Idea Factory,Simulation,2004,NA,1,NA,No,NA,NA,NA,NA,NA
Harvest Moon: Magical Melody,Ubisoft,Simulation,2005,E,1,83,Yes,0.19,0.05,NA,0.01,0.24
The Sims,Electronic Arts,Simulation,2003,T,2,85,No,0.35,0.13,NA,0.01,0.49
The Sims 2,Electronic Arts,Simulation,2005,T,2,73,No,0.26,0.07,NA,0.01,0.33
The Sims 2: Pets,Electronic Arts,Simulation,2006,T,2,66,No,0.21,0.05,NA,0.01,0.27
The Sims: Bustin' Out,Electronic Arts,Simulation,2003,T,2,81,No,0.43,0.2,NA,0.03,0.66
The Urbz: Sims in the City,Electronic Arts,Simulation,2004,T,2,73,No,0.24,0.14,NA,0.02,0.4
Top Gun: Combat Zones,Titus,Simulation,2002,E,1,59,No,0.12,0.03,NA,NA,0.15
1080 Avalanche,Nintendo,Sports,2003,E,4,73,Yes,NA,NA,NA,NA,NA
2002 FIFA World Cup,Electronic Arts,Sports,2002,E,4,78,No,0.04,0.01,NA,NA,0.05
Aggressive Inline,Acclaim Entertainment,Sports,2002,T,2,88,No,0.04,0.01,NA,NA,0.06
All-Star Baseball 2002,Acclaim Entertainment,Sports,2001,E,4,66,No,0.17,0.04,NA,0.01,0.22
All-Star Baseball 2003,Acclaim Entertainment,Sports,2002,E,4,83,No,0.12,0.03,NA,NA,0.15
All-Star Baseball 2004,Acclaim Entertainment,Sports,2003,E,4,80,No,0.06,0.02,NA,NA,0.08
Archer Maclean Presents: Pool Paradise,Ignition Entertainment,Sports,2004,E,2,76,No,0.02,0.01,NA,NA,0.03
Backyard Baseball,Infogrames Entertainment,Sports,2003,E,2,70,No,0.1,0.03,NA,NA,0.13
Backyard NFL Football,Infogrames Entertainment,Sports,2002,E,2,58,No,0.2,0.05,NA,0.01,0.26
Backyard Sports Baseball 2007,Atari,Sports,2007,E,2,NA,No,NA,NA,NA,NA,NA
Beach Spikers: Virtua Beach Volleyball,Sega,Sports,2002,E,4,76,Yes,0.08,0.02,NA,NA,0.1
BMX XXX,Acclaim Entertainment,Sports,2002,M,2,60,No,0.05,0.01,NA,NA,0.06
Cabela's Big Game Hunter 2005 Adventures,Activision,Sports,2004,T,2,NA,No,0.05,0.01,NA,NA,0.07
Cabela's Dangerous Hunts 2,Activision,Sports,2005,T,2,NA,No,0.03,0.01,NA,NA,0.03
Cabela's Outdoor Adventures,Activision,Sports,2005,T,2,NA,No,0.03,0.01,NA,NA,0.03
Cabela's Outdoor Adventures (2006),Activision,Sports,2005,T,2,NA,No,NA,NA,NA,NA,NA
Captain Tsubasa: Ougon Sedai no Chousen,Konami Digital Entertainment,Sports,2002,NA,1,NA,Yes,NA,NA,NA,NA,NA
Cocoto Fishing Master,BigBen Interactive,Sports,2005,E,1,NA,No,NA,NA,NA,NA,NA
Dark Summit,THQ,Sports,2002,T,2,68,No,0.04,0.01,NA,NA,0.05
Dave Mirra Freestyle BMX 2,Acclaim Entertainment,Sports,2001,T,2,78,No,0.21,0.06,NA,0.01,0.28
Derby Tsuku 3: Derby Uma o Tsukurou!,Sega,Sports,2003,NA,1,NA,No,NA,NA,NA,NA,NA
Disney Sports Basketball,Konami Digital Entertainment,Sports,2002,E,4,37,Yes,0.01,NA,NA,NA,0.01
Disney Sports Football,Konami Digital Entertainment,Sports,2002,E,4,59,Yes,0.01,NA,NA,NA,0.02
Disney Sports Skateboarding,Konami Digital Entertainment,Sports,2002,E,2,36,Yes,0.05,0.01,NA,NA,0.06
Disney Sports Soccer,Konami Digital Entertainment,Sports,2002,E,4,75,Yes,0.03,0.01,NA,NA,0.03
Disney's Extreme Skate Adventure,Activision,Sports,2003,E,2,76,No,0.09,0.02,NA,NA,0.12
ESPN International Winter Sports 2002,Konami Digital Entertainment,Sports,2002,E,2,62,No,0.04,0.01,NA,NA,0.05
ESPN MLS ExtraTime 2002,Konami Digital Entertainment,Sports,2002,E,4,68,No,0.02,NA,NA,NA,0.02
Evolution Skateboarding,Konami Digital Entertainment,Sports,2002,T,2,44,No,0.03,0.01,NA,NA,0.04
Evolution Snowboarding,Konami Digital Entertainment,Sports,2003,T,2,49,No,NA,NA,NA,NA,NA
Family Stadium 2003,Namco Bandai Games,Sports,2003,NA,2,NA,Yes,NA,NA,NA,NA,NA
FIFA 06 Soccer,Electronic Arts,Sports,2005,E,4,80,No,0.11,0.03,NA,NA,0.14
FIFA 07 Soccer,Electronic Arts,Sports,2006,E,4,80,No,0.14,0.04,NA,NA,0.18
FIFA Soccer 2002,Electronic Arts,Sports,2001,E,4,81,No,0.14,0.04,NA,NA,0.18
FIFA Soccer 2003,Electronic Arts,Sports,2002,E,4,86,No,0.06,0.02,NA,NA,0.08
FIFA Soccer 2004,Electronic Arts,Sports,2003,E,4,83,No,0.05,0.01,NA,NA,0.07
FIFA Soccer 2005,Electronic Arts,Sports,2004,E,4,78,No,0.11,0.03,NA,NA,0.14
FIFA Street,Electronic Arts,Sports,2005,E,4,NA,No,0.04,0.01,NA,NA,0.06
FIFA Street 2,Electronic Arts,Sports,2006,E,4,63,No,0.09,0.02,NA,NA,0.11
FIFA World Cup Germany 2006,Electronic Arts,Sports,2006,E,4,76,No,0.1,0.03,NA,NA,0.13
Freestyle Street Soccer,Acclaim Entertainment,Sports,2004,T,4,48,No,NA,NA,NA,NA,NA
Go! Go! Hypergrind,Atlus,Sports,2003,T,2,67,Yes,0.02,0.01,NA,NA,0.03
Harry Potter: Quidditch World Cup,Electronic Arts,Sports,2003,E,2,68,No,0.31,0.08,NA,0.01,0.4
Home Run King,Sega,Sports,2002,E,2,66,Yes,0.09,0.02,NA,NA,0.11
International Superstar Soccer 2,Konami Digital Entertainment,Sports,2002,E,4,NA,No,NA,NA,NA,NA,NA
International Superstar Soccer 3,Konami Digital Entertainment,Sports,2003,E,4,NA,No,NA,NA,NA,NA,NA
Jikkyou Powerful Major League,Konami Digital Entertainment,Sports,2006,NA,2,NA,No,NA,NA,0.04,NA,0.04
Jikkyou Powerful Pro Yakyuu 10,Konami Digital Entertainment,Sports,2003,NA,2,NA,No,NA,NA,0.1,NA,0.1
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban,Konami Digital Entertainment,Sports,2003,NA,2,NA,No,NA,NA,NA,NA,NA
Jikkyou Powerful Pro Yakyuu 11,Konami Digital Entertainment,Sports,2004,NA,2,NA,No,NA,NA,0.09,NA,0.1
Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban,Konami Digital Entertainment,Sports,2004,NA,2,NA,No,NA,NA,NA,NA,NA
Jikkyou Powerful Pro Yakyuu 12,Konami Digital Entertainment,Sports,2005,NA,2,NA,No,NA,NA,0.08,NA,0.08
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,Konami Digital Entertainment,Sports,2005,NA,2,NA,No,NA,NA,0.02,NA,0.02
Jikkyou Powerful Pro Yakyuu 9,Konami Digital Entertainment,Sports,2002,NA,2,NA,No,NA,NA,0.11,NA,0.12
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,Konami Digital Entertainment,Sports,2002,NA,2,NA,No,NA,NA,NA,NA,NA
Jikkyou World Soccer 2002,Konami Digital Entertainment,Sports,2002,NA,4,NA,No,NA,NA,NA,NA,NA
Kelly Slater's Pro Surfer,Activision,Sports,2002,E,2,80,No,0.05,0.01,NA,NA,0.06
Knockout Kings 2003,Electronic Arts,Sports,2002,T,2,78,No,0.12,0.03,NA,NA,0.15
Madden NFL 06,Electronic Arts,Sports,2005,E,4,86,No,0.44,0.11,NA,0.02,0.57
Madden NFL 07,Electronic Arts,Sports,2006,E,4,82,No,0.48,0.13,NA,0.02,0.62
Madden NFL 08,Electronic Arts,Sports,2007,E,4,75,No,0.06,0.02,NA,NA,0.08
Madden NFL 2002,Electronic Arts,Sports,2001,E,4,89,No,0.47,0.12,NA,0.02,0.61
Madden NFL 2003,Electronic Arts,Sports,2002,E,4,92,No,0.33,0.09,NA,0.01,0.43
Madden NFL 2004,Electronic Arts,Sports,2003,E,4,94,No,0.4,0.1,NA,0.01,0.51
Madden NFL 2005,Electronic Arts,Sports,2004,E,4,90,No,0.54,0.14,NA,0.02,0.7
Major League Baseball 2K6,Take-Two Interactive,Sports,2006,E,2,66,No,0.13,0.03,NA,NA,0.17
Mario Golf: Toadstool Tour,Nintendo,Sports,2003,E,4,81,Yes,1.09,0.15,0.25,0.04,1.53
Mario Power Tennis,Nintendo,Sports,2004,E,4,80,Yes,0.58,0.16,0.46,0.03,1.22
Mario Superstar Baseball,Nintendo,Sports,2005,E,2,76,Yes,0.93,0.24,0.25,0.04,1.46
Mark Davis Pro Bass Challenge,Natsume,Sports,2005,E,2,NA,No,0.01,NA,NA,NA,0.01
Mat Hoffman's Pro BMX 2,Activision,Sports,2002,T,2,70,No,0.03,0.01,NA,NA,0.04
MLB SlugFest 20-03,Midway Games,Sports,2002,E,2,80,No,0.11,0.03,NA,NA,0.15
MLB SlugFest 20-04,Midway Games,Sports,2003,E,2,76,No,0.03,0.01,NA,NA,0.04
Muscle Champion,Konami Digital Entertainment,Sports,2002,NA,4,NA,Yes,NA,NA,NA,NA,NA
MVP Baseball 2004,Electronic Arts,Sports,2004,E,2,89,No,0.2,0.05,NA,0.01,0.26
MVP Baseball 2005,Electronic Arts,Sports,2005,E,2,88,No,0.25,0.07,NA,0.01,0.33
NBA 2K2,Sega,Sports,2002,E,4,90,No,0.09,0.02,NA,NA,0.12
NBA 2K3,Sega,Sports,2002,E,4,84,No,0.12,0.03,NA,NA,0.16
NBA Courtside 2002,Nintendo,Sports,2002,E,4,71,Yes,0.19,0.05,NA,0.01,0.25
NBA Live 06,Electronic Arts,Sports,2005,E,4,76,No,0.25,0.07,NA,0.01,0.33
NBA Live 2003,Electronic Arts,Sports,2002,E,4,82,No,0.23,0.06,NA,0.01,0.3
NBA Live 2004,Electronic Arts,Sports,2003,E,4,84,No,0.21,0.05,NA,0.01,0.27
NBA Live 2005,Electronic Arts,Sports,2004,E,4,83,No,0.35,0.09,NA,0.01,0.45
NBA Street,Electronic Arts,Sports,2002,E,2,88,No,0.33,0.09,NA,0.01,0.42
NBA Street V3,Electronic Arts,Sports,2005,E,4,88,No,0.23,0.06,NA,0.01,0.29
NBA Street Vol. 2,Electronic Arts,Sports,2003,E,4,88,No,0.41,0.11,NA,0.01,0.54
NCAA College Basketball 2K3,Sega,Sports,2002,E,4,82,No,0.01,NA,NA,NA,0.01
NCAA College Football 2K3,Sega,Sports,2002,E,2,70,No,0.05,0.01,NA,NA,0.07
NCAA Football 2003,Electronic Arts,Sports,2002,E,4,91,No,0.16,0.04,NA,0.01,0.21
NCAA Football 2004,Electronic Arts,Sports,2003,E,4,89,No,0.12,0.03,NA,NA,0.15
NCAA Football 2005,Electronic Arts,Sports,2004,E,4,88,No,0.17,0.04,NA,0.01,0.22
NFL 2K3,Sega,Sports,2002,E,4,92,No,0.17,0.04,NA,0.01,0.22
NFL Blitz 20-02,Midway Games,Sports,2002,E,4,77,No,0.07,0.02,NA,NA,0.09
NFL Blitz 20-03,Midway Games,Sports,2002,E,4,72,No,0.11,0.03,NA,NA,0.14
NFL Blitz Pro,Midway Games,Sports,2003,E,4,71,No,0.02,NA,NA,NA,0.02
NFL Quarterback Club 2002,Acclaim Entertainment,Sports,2001,E,4,53,No,0.04,0.01,NA,NA,0.05
NFL Street,Electronic Arts,Sports,2004,E,4,81,No,0.27,0.07,NA,0.01,0.35
NFL Street 2,Electronic Arts,Sports,2004,E,4,77,No,0.15,0.04,NA,0.01,0.2
NHL 06,Electronic Arts,Sports,2005,E10,4,78,No,0.06,0.02,NA,NA,0.08
NHL 2003,Electronic Arts,Sports,2002,E,4,79,No,0.1,0.03,NA,NA,0.13
NHL 2004,Electronic Arts,Sports,2003,E,4,85,No,0.08,0.02,NA,NA,0.1
NHL 2005,Electronic Arts,Sports,2004,E,4,75,No,0.05,0.01,NA,NA,0.07
NHL 2K3,Sega,Sports,2002,E,4,89,No,0.01,NA,NA,NA,0.02
NHL Hitz 20-02,Midway Games,Sports,2001,E,4,79,No,0.16,0.04,NA,0.01,0.21
NHL Hitz 20-03,Midway Games,Sports,2002,E,4,82,No,0.06,0.02,NA,NA,0.08
NHL Hitz Pro,Midway Games,Sports,2003,E,4,81,No,0.03,0.01,NA,NA,0.04
Outlaw Golf,Take-Two Interactive,Sports,2002,T,4,69,No,0.06,0.02,NA,NA,0.08
Pool Edge,Media Kite,Sports,2002,E,2,76,Yes,NA,NA,NA,NA,NA
RedCard 20-03,Midway Games,Sports,2002,E,4,71,No,0.02,NA,NA,NA,0.02
Ribbit King,Atari,Sports,2003,E,4,60,No,0.04,0.01,NA,NA,0.05
Sega Soccer Slam,Sega,Sports,2002,E,4,84,No,0.05,0.01,NA,NA,0.07
SSX 3,Electronic Arts,Sports,2003,E,2,92,No,0.29,0.08,NA,0.01,0.38
SSX On Tour,Electronic Arts,Sports,2005,E,2,80,No,0.13,0.03,NA,NA,0.17
SSX Tricky,Electronic Arts,Sports,2001,E,2,87,No,0.42,0.11,NA,0.01,0.54
Street Hoops,Activision,Sports,2002,T,2,56,No,0.09,0.02,NA,NA,0.12
Strike Force Bowling,Crave Entertainment,Sports,2005,E,4,47,No,0.05,0.01,NA,NA,0.06
Super Mario Strikers,Nintendo,Sports,2005,E,4,76,Yes,0.98,0.38,0.2,0.04,1.61
Surf's Up,Ubisoft,Sports,2007,E10,4,NA,No,0.01,NA,NA,NA,0.01
Swingerz Golf,Eidos Interactive,Sports,2002,E,4,72,Yes,0.06,0.02,NA,NA,0.08
The Baseball 2003,Konami Digital Entertainment,Sports,2003,NA,2,NA,Yes,NA,NA,NA,NA,NA
Tiger Woods PGA Tour 06,Electronic Arts,Sports,2005,E,4,82,No,0.08,0.02,NA,NA,0.11
Tiger Woods PGA Tour 2003,Electronic Arts,Sports,2002,E,4,90,No,0.18,0.05,NA,0.01,0.23
Tiger Woods PGA Tour 2004,Electronic Arts,Sports,2003,E,4,89,No,0.12,0.03,NA,NA,0.16
Tiger Woods PGA Tour 2005,Electronic Arts,Sports,2004,E,4,88,No,0.1,0.03,NA,NA,0.14
Tony Hawk's American Wasteland,Activision,Sports,2005,T,2,76,No,0.33,0.08,NA,0.01,0.42
Tony Hawk's Pro Skater 3,Activision,Sports,2001,T,2,91,No,0.64,0.17,NA,0.02,0.82
Tony Hawk's Pro Skater 4,Activision,Sports,2002,T,2,91,No,0.45,0.12,NA,0.02,0.58
Tony Hawk's Underground,Activision,Sports,2003,T,2,89,No,0.54,0.14,NA,0.02,0.7
Tony Hawk's Underground 2,Activision,Sports,2004,T,2,82,No,0.38,0.1,NA,0.01,0.5
Top Angler: Real Bass Fishing,Xicat Interactive,Sports,2002,E,2,NA,No,NA,NA,NA,NA,NA
Transworld Surf: Next Wave,Atari,Sports,2003,T,4,68,No,NA,NA,NA,NA,NA
UEFA Champions League 2004-2005,Electronic Arts,Sports,2005,E,4,NA,No,NA,NA,NA,NA,NA
Virtua Striker 2002,Sega,Sports,2002,E,2,58,Yes,0.01,NA,0.03,NA,0.05
Whirl Tour,Vivendi Games,Sports,2002,E,2,61,No,0.04,0.01,NA,NA,0.05
World Championship Pool 2004,Jaleco,Sports,2005,E,2,NA,No,NA,NA,NA,NA,NA
World Soccer Winning Eleven 6 Final Evolution,Konami Digital Entertainment,Sports,2003,NA,4,NA,No,NA,NA,NA,NA,NA
WTA Tour Tennis,Konami Digital Entertainment,Sports,2002,T,4,55,No,0.01,NA,NA,NA,0.01
Amazing Island,Sega,Strategy,2004,E,2,59,Yes,0.04,0.01,NA,NA,0.06
Army Men: RTS,Global Star,Strategy,2004,T,1,NA,No,0.05,0.01,NA,NA,0.07
Battalion Wars,Nintendo,Strategy,2005,T,1,76,Yes,0.25,0.07,0.07,0.01,0.4
Duel Masters Nettou! Battle Arena,Takara,Strategy,2003,NA,2,NA,Yes,NA,NA,NA,NA,NA
Future Tactics: The Uprising,JoWood Productions,Strategy,2004,T,2,63,No,0.02,NA,NA,NA,0.02
Gladius,Activision,Strategy,2003,T,4,82,No,0.06,0.01,NA,NA,0.07
Goblin Commander: Unleash the Horde,Jaleco,Strategy,2003,T,2,71,No,0.01,NA,NA,NA,0.02
Neighbours From Hell,JoWood Productions,Strategy,2005,E,1,NA,No,NA,NA,NA,NA,NA
Odama,Nintendo,Strategy,2006,E10,1,62,Yes,0.07,0.02,0.02,NA,0.11
Pikmin,Nintendo,Strategy,2001,E,1,89,Yes,0.78,0.25,0.56,0.04,1.63
Pikmin 2,Nintendo,Strategy,2004,E,2,90,Yes,0.48,0.13,0.56,0.03,1.2
SD Gundam: Gashapon Wars,Namco Bandai Games,Strategy,2005,E,4,NA,Yes,NA,NA,0.07,NA,0.07
Super Robot Taisen GC,Banpresto,Strategy,2004,NA,1,NA,No,NA,NA,NA,NA,NA
Worms 3D,Sega,Strategy,2003,T,4,69,No,0.05,0.01,NA,NA,0.07
Yu-Gi-Oh! The Falsebound Kingdom,Konami Digital Entertainment,Strategy,2002,E,1,44,Yes,0.49,0.13,0.07,0.02,0.71
